model,total_samples,valid_samples,invalid_count,accuracy,macro_precision,macro_recall,macro_f1,待加強_precision,待加強_recall,待加強_f1,尚可_precision,尚可_recall,尚可_f1,精熟_precision,精熟_recall,精熟_f1
claude-sonnet-4-5,72,72,0,0.8472222222222222,0.7848484848484848,0.8417366946778712,0.7962889622295563,0.6363636363636364,1.0,0.7777777777777778,0.9,0.8823529411764706,0.8910891089108911,0.8181818181818182,0.6428571428571429,0.72
gemini-2.5-flash-lite,72,72,0,0.7083333333333334,0.6705882352941176,0.6900093370681605,0.5988217242776909,0.4117647058823529,1.0,0.5833333333333334,0.8,0.7843137254901961,0.7920792079207921,0.8,0.2857142857142857,0.42105263157894735
gemini-2.5-flash,72,72,0,0.625,0.5751729990860426,0.7026143790849674,0.5698912198912199,0.30434782608695654,1.0,0.4666666666666667,0.8378378378378378,0.6078431372549019,0.7045454545454546,0.5833333333333334,0.5,0.5384615384615384
gemini-2.5-pro,72,72,0,0.8194444444444444,0.7811996779388085,0.84593837535014,0.8081042382588773,0.875,1.0,0.9333333333333333,0.9130434782608695,0.8235294117647058,0.865979381443299,0.5555555555555556,0.7142857142857143,0.625
gemini-3-flash-preview,72,72,0,0.7638888888888888,0.7883333333333334,0.8370681605975724,0.7924297924297924,1.0,1.0,1.0,0.925,0.7254901960784313,0.8131868131868132,0.44,0.7857142857142857,0.5641025641025641
gemini-3.1-flash-lite-preview,72,72,0,0.7777777777777778,0.7871740662438337,0.8263305322128852,0.7951142631993696,1.0,1.0,1.0,0.9069767441860465,0.7647058823529411,0.8297872340425532,0.45454545454545453,0.7142857142857143,0.5555555555555556
gemini-3.1-pro-preview,72,72,0,0.8888888888888888,0.8490362811791384,0.895891690009337,0.8706513409961687,0.875,1.0,0.9333333333333333,0.9387755102040817,0.9019607843137255,0.92,0.7333333333333333,0.7857142857142857,0.7586206896551724
gemma-3-12b-it,72,72,0,0.6944444444444444,0.7284498705142434,0.6489262371615313,0.5405982905982906,0.4117647058823529,1.0,0.5833333333333334,0.7735849056603774,0.803921568627451,0.7884615384615384,1.0,0.14285714285714285,0.25
gemma-3-27b-it,72,68,4,0.5147058823529411,0.6145833333333334,0.648936170212766,0.5184459984459985,0.21875,1.0,0.358974358974359,0.75,0.44680851063829785,0.56,0.875,0.5,0.6363636363636364
gemma-3-4b-it,72,72,0,0.09722222222222222,0.03763440860215054,0.3333333333333333,0.0676328502415459,0.11290322580645161,1.0,0.2028985507246377,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4.1,72,72,0,0.8472222222222222,0.8306878306878307,0.7899159663865546,0.7812082777036048,0.7777777777777778,1.0,0.875,0.8571428571428571,0.9411764705882353,0.897196261682243,0.8571428571428571,0.42857142857142855,0.5714285714285714
gpt-4o-mini,72,72,0,0.8611111111111112,0.8575757575757575,0.8137254901960785,0.798618818596621,0.7,1.0,0.8235294117647058,0.8727272727272727,0.9411764705882353,0.9056603773584906,1.0,0.5,0.6666666666666666
gpt-4o,72,72,0,0.7222222222222222,0.7037940379403794,0.7829131652661064,0.677536231884058,0.3333333333333333,1.0,0.5,0.8780487804878049,0.7058823529411765,0.782608695652174,0.9,0.6428571428571429,0.75
llama-3.1-8b-instant,72,72,0,0.19444444444444445,0.1568627450980392,0.3790849673202614,0.14527458492975734,0.13725490196078433,1.0,0.2413793103448276,0.3333333333333333,0.13725490196078433,0.19444444444444445,0.0,0.0,0.0
llama-3.3-70b-versatile,72,72,0,0.8055555555555556,0.8065656565656566,0.7530345471521942,0.7103608076795762,0.5833333333333334,1.0,0.7368421052631579,0.8363636363636363,0.9019607843137255,0.8679245283018868,1.0,0.35714285714285715,0.5263157894736842
o4-mini,72,68,4,0.8088235294117647,0.7561026936026937,0.7907801418439716,0.7660526315789474,0.7777777777777778,1.0,0.875,0.8541666666666666,0.8723404255319149,0.8631578947368421,0.6363636363636364,0.5,0.56
qwen-qwen3-32b,72,72,0,0.8611111111111112,0.8575757575757575,0.8137254901960785,0.798618818596621,0.7,1.0,0.8235294117647058,0.8727272727272727,0.9411764705882353,0.9056603773584906,1.0,0.5,0.6666666666666666
roberta,72,72,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
