model,A_acc,A_acc_std,A_f1,A_f1_std,B_acc,B_acc_std,B_f1,B_f1_std,dAcc,dF1
RoBERTa (multi-seed n=5),0.9917,0.0076,0.9827,0.0158,0.7750,0.0346,0.6518,0.0461,-0.2167,-0.3308
qwen-qwen3-32b,0.8611,,0.7986,,0.7083,,0.7002,,-0.1528,-0.0985
claude-sonnet-4-5,0.8472,,0.7963,,0.6389,,0.6872,,-0.2083,-0.1091
gpt-4.1,0.8472,,0.7812,,0.6250,,0.6743,,-0.2222,-0.1069
gpt-4o-mini,0.8611,,0.7986,,0.6528,,0.6554,,-0.2083,-0.1432
llama-3.3-70b-versatile,0.8056,,0.7104,,0.7222,,0.6492,,-0.0833,-0.0612
gemini-2.5-pro,0.8194,,0.8081,,0.5278,,0.6305,,-0.2917,-0.1776
gemini-3.1-flash-lite-preview,0.7778,,0.7951,,0.5000,,0.5783,,-0.2778,-0.2168
gpt-4o,0.7222,,0.6775,,0.5139,,0.5380,,-0.2083,-0.1395
gemini-3.1-pro-preview,0.8889,,0.8707,,0.4722,,0.5297,,-0.4167,-0.3409
o4-mini,0.8088,,0.7661,,0.4615,,0.5256,,-0.3473,-0.2404
gemma-3-12b-it,0.6944,,0.5406,,0.7083,,0.5172,,0.0139,-0.0234
gemini-2.5-flash,0.6250,,0.5699,,0.5139,,0.5118,,-0.1111,-0.0581
gemini-3-flash-preview,0.7639,,0.7924,,0.4306,,0.5048,,-0.3333,-0.2877
gemini-2.5-flash-lite,0.7083,,0.5988,,0.5000,,0.4952,,-0.2083,-0.1036
gemma-3-27b-it,0.5147,,0.5184,,0.5211,,0.4704,,0.0064,-0.0481
llama-3.1-8b-instant,0.1944,,0.1453,,0.3889,,0.2681,,0.1944,0.1228
gemma-3-4b-it,0.0972,,0.0676,,0.3944,,0.2495,,0.2971,0.1819
